date,demand,quarter,season_sin,season_cos,possible_working_days,avg_weight,ap_price_weight,crude_price_weight,demand_lag1,demand_lag3,ap_price_weight_lag1,ap_price_weight_lag3,ap_price_weight_lag6,crude_price_weight_lag1,crude_price_weight_lag3,crude_price_weight_lag6,demand_rollmean_3,crude_price_weight_rollmean_3,crude_price_weight_rollmean_6
200405,177861.0,2,0.49999999999999994,-0.8660254037844387,20.0,0.1065,141579.9,142557.76666666666,164565.0,55387.0,141579.9,141579.9,146683.83333333334,142557.76666666666,142557.76666666666,142557.76666666666,156240.0,142557.76666666666,142557.76666666666
200406,203095.0,2,1.2246467991473532e-16,-1.0,18.0,0.1117,141579.9,142557.76666666666,177861.0,126294.0,141579.9,141579.9,146683.83333333334,142557.76666666666,142557.76666666666,142557.76666666666,181840.33333333334,142557.76666666666,142557.76666666666
200407,139521.0,3,-0.4999999999999998,-0.8660254037844388,17.0,0.0767,141579.9,142557.76666666666,203095.0,164565.0,141579.9,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,173492.33333333334,142557.76666666666,142557.76666666666
200408,141171.0,3,-0.8660254037844384,-0.5000000000000004,19.0,0.0765,141579.9,142557.76666666666,139521.0,177861.0,141579.9,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,161262.33333333334,142557.76666666666,142557.76666666666
200409,165050.0,3,-1.0,-1.8369701987210297e-16,20.0,0.0937,141579.9,142557.76666666666,141171.0,203095.0,141579.9,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,148580.66666666666,142557.76666666666,142557.76666666666
200410,209923.0,4,-0.8660254037844386,0.5000000000000001,21.0,0.0981,141579.9,142557.76666666666,165050.0,139521.0,141579.9,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,172048.0,142557.76666666666,142557.76666666666
200411,212921.0,4,-0.5000000000000004,0.8660254037844384,22.0,0.112,141579.9,142557.76666666666,209923.0,141171.0,141579.9,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,195964.66666666666,142557.76666666666,142557.76666666666
200412,233242.0,4,-2.4492935982947064e-16,1.0,23.0,0.1085,146683.83333333334,142557.76666666666,212921.0,165050.0,141579.9,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,218695.33333333334,142557.76666666666,142557.76666666666
200501,50864.0,1,0.49999999999999994,0.8660254037844387,20.0,0.034,141579.9,142557.76666666666,233242.0,209923.0,146683.83333333334,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,165675.66666666666,142557.76666666666,142557.76666666666
200502,30782.0,1,0.8660254037844386,0.5000000000000001,16.0,0.0359,141579.9,142557.76666666666,50864.0,212921.0,141579.9,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,104962.66666666667,142557.76666666666,142557.76666666666
