date,demand,season_sin,season_cos,temp_avg,precip_avg,possible_working_days,avg_weight,ap_price_weight,crude_price_weight
201207,121266.0,-0.4999999999999998,-0.8660254037844388,25.156225806451612,11.821428571428571,18.0,0.0767,133636.1,124500.4
201208,110899.0,-0.8660254037844384,-0.5000000000000004,25.885322580645163,15.711535714285715,17.0,0.0765,133636.1,137749.46666666667
201209,161211.0,-1.0,-1.8369701987210297e-16,19.715833333333332,11.135333333333334,17.0,0.0937,133636.1,137749.46666666667
201210,141331.0,-0.8660254037844386,0.5000000000000001,13.80393548387097,3.2104999999999997,23.0,0.0981,133636.1,137749.46666666667
201211,176808.0,-0.5000000000000004,0.8660254037844384,5.989966666666667,3.0055454545454547,22.0,0.112,132133.23333333334,137749.46666666667
201212,148217.0,-2.4492935982947064e-16,1.0,-2.4570322580645163,2.4632592592592593,14.0,0.1085,132133.23333333334,124500.4
201301,49398.0,0.49999999999999994,0.8660254037844387,-2.7505161290322584,1.3655,13.0,0.034,133636.1,137749.46666666667
201302,74014.0,0.8660254037844386,0.5000000000000001,0.14524999999999993,2.813842105263158,16.0,0.0359,133636.1,137749.46666666667
201303,108457.0,1.0,6.123233995736766e-17,6.243225806451613,3.5234210526315795,21.0,0.0679,133636.1,124500.4
201304,144276.0,0.8660254037844387,-0.49999999999999983,9.937800000000001,3.6041666666666665,22.0,0.0913,133636.1,124500.4
201305,176402.0,0.49999999999999994,-0.8660254037844387,17.553032258064516,6.3589,22.0,0.1065,132133.23333333334,124500.4
201306,222526.0,1.2246467991473532e-16,-1.0,22.4699,4.978333333333333,19.0,0.1117,132133.23333333334,124500.4
201307,132075.0,-0.4999999999999998,-0.8660254037844388,25.991709677419358,14.128633333333333,20.0,0.0767,132133.23333333334,124500.4
201308,141364.0,-0.8660254037844384,-0.5000000000000004,26.91148387096774,9.063653846153846,20.0,0.0765,132133.23333333334,137749.46666666667
201309,137056.0,-1.0,-1.8369701987210297e-16,20.659699999999997,6.467260869565217,20.0,0.0937,132133.23333333334,137749.46666666667
201310,172858.0,-0.8660254037844386,0.5000000000000001,14.956096774193549,3.612409090909091,22.0,0.0981,133636.1,137749.46666666667
201311,184129.0,-0.5000000000000004,0.8660254037844384,6.510866666666667,3.2040952380952383,21.0,0.112,132133.23333333334,124500.4
